user_id,total_orders,max_order_number,avg_days_between_orders,prior_order_items,prior_unique_products,prior_reordered_items,prior_orders,order_id,latest_order_number,latest_order_dow,latest_order_hour,latest_days_since_prior_order
53,4,4,15.333333333333334,35,35,1,3,3088145,4,2,10,13.0
54,78,78,4.7272727272727275,619,611,369,77,1325316,78,2,23,1.0
55,8,8,19.428571428571427,87,87,44,7,39325,8,2,18,30.0
56,13,13,7.0,145,145,93,12,13318,13,1,9,6.0
57,15,15,8.071428571428571,72,72,41,14,320326,15,0,7,8.0
58,16,16,9.133333333333333,97,97,32,15,2128599,16,4,12,7.0
59,11,11,16.1,92,92,32,10,1651215,11,0,12,10.0
60,9,9,25.5,67,67,22,8,1099519,9,4,22,30.0
61,5,5,22.75,87,87,8,4,144494,5,4,10,17.0
62,11,11,16.8,80,80,27,10,1019719,11,2,12,29.0
63,40,40,9.23076923076923,504,496,307,39,2989905,40,6,8,13.0
64,11,11,11.7,135,135,78,10,2639013,11,0,13,27.0
65,15,15,14.0,132,132,52,14,1072954,15,6,17,30.0
66,7,7,28.833333333333332,23,23,5,6,34647,7,3,19,23.0
67,25,25,7.458333333333333,81,81,58,24,2757217,25,0,11,5.0
68,7,7,28.5,70,70,19,6,3024191,7,2,15,30.0
69,6,6,11.2,50,50,20,5,2817181,6,2,11,7.0
70,14,14,19.923076923076923,104,96,33,13,669729,14,5,12,30.0
71,24,24,14.391304347826088,437,426,331,23,3038639,24,5,13,17.0
72,13,13,16.5,47,47,32,12,2608424,13,2,14,30.0
73,8,8,23.285714285714285,24,24,8,7,2883656,8,6,18,30.0
74,6,6,16.0,48,48,6,5,482516,6,4,7,10.0
75,24,24,8.73913043478261,311,311,212,23,1970262,24,3,11,6.0
76,10,10,21.11111111111111,32,32,7,9,3294399,10,4,8,14.0
77,13,13,14.666666666666666,203,203,75,12,2681168,13,0,15,28.0
78,7,7,14.833333333333334,41,41,3,6,1700658,7,6,11,7.0
79,8,8,19.857142857142858,93,93,44,7,21708,8,0,6,30.0
80,13,13,9.333333333333334,128,128,76,12,2178718,13,2,8,8.0
81,8,8,21.0,27,27,7,7,1734166,8,5,18,8.0
82,20,20,11.263157894736842,131,123,104,19,859654,20,1,10,13.0
83,7,7,20.0,39,39,13,6,2424438,7,2,16,30.0
84,9,9,21.625,64,64,20,8,2276967,9,0,13,14.0
85,8,8,16.428571428571427,30,30,14,7,1345233,8,0,16,3.0
86,18,18,19.41176470588235,267,261,137,17,613340,18,6,12,6.0
87,28,28,10.222222222222221,176,174,115,27,1855447,28,3,17,8.0
88,8,8,18.285714285714285,11,11,6,7,3081445,8,3,18,23.0
89,21,21,9.2,239,238,160,20,2222431,21,6,18,6.0
90,72,72,3.4507042253521125,670,615,593,71,1318796,72,5,9,2.0
91,16,16,10.066666666666666,211,210,126,15,637547,16,1,10,11.0
92,6,6,24.0,20,20,6,5,2412507,6,5,9,30.0
93,15,15,12.714285714285714,31,30,5,14,1179185,15,1,10,5.0
94,10,10,16.333333333333332,56,56,11,9,622677,10,6,14,30.0
95,9,9,21.125,144,144,46,8,1227088,9,5,12,21.0
96,17,17,12.625,143,143,87,16,531345,17,1,11,30.0
97,6,6,20.4,54,54,5,5,3178964,6,6,19,6.0
98,15,15,21.0,50,49,23,14,139487,15,6,15,30.0
99,19,19,17.944444444444443,211,211,85,18,1289863,19,2,11,22.0
100,6,6,26.8,27,27,7,5,3302990,6,5,19,30.0
101,21,21,14.55,170,170,84,20,1189294,21,5,18,26.0
102,7,7,25.833333333333332,59,59,25,6,2591641,7,0,20,30.0
103,18,18,12.352941176470589,77,77,36,17,926418,18,2,14,20.0
104,6,6,17.2,18,18,5,5,2364180,6,4,10,10.0
105,8,8,21.571428571428573,14,14,4,7,2298088,8,3,10,30.0
106,4,4,9.333333333333334,41,41,5,3,2549875,4,6,13,8.0
107,16,16,16.133333333333333,130,130,58,15,1368861,16,1,18,30.0
108,8,8,19.857142857142858,69,69,30,7,515014,8,6,15,6.0
109,7,7,20.166666666666668,69,69,19,6,1997693,7,1,11,21.0
110,21,21,15.75,347,342,193,20,72069,21,1,10,6.0
111,8,8,17.714285714285715,56,56,6,7,3105153,8,4,11,4.0
112,27,27,7.923076923076923,158,156,92,26,3032922,27,2,18,6.0
113,6,6,16.2,5,5,4,5,1645824,6,5,17,30.0
114,5,5,6.75,66,66,27,4,2759030,5,0,10,2.0
115,13,13,16.333333333333332,79,79,15,12,2618023,13,1,18,15.0
116,7,7,12.5,25,25,4,6,878518,7,5,12,4.0
117,12,12,19.454545454545453,120,118,52,11,1438423,12,0,18,4.0
118,28,28,13.296296296296296,165,161,116,27,1248129,28,1,7,30.0
119,4,4,18.333333333333332,22,22,6,3,461193,4,0,14,30.0
120,4,4,21.333333333333332,7,7,3,3,961032,4,2,9,30.0
121,11,11,20.5,55,53,30,10,2652217,11,3,6,21.0
122,30,30,8.689655172413794,120,115,72,29,1626588,30,6,17,30.0
123,11,11,20.4,63,62,31,10,1721370,11,0,11,0.0
124,9,9,15.875,79,79,31,8,2733614,9,1,8,21.0
125,14,14,11.76923076923077,182,182,82,13,1543042,14,1,19,11.0
126,11,11,24.1,105,101,47,10,36863,11,0,10,14.0
127,18,18,13.058823529411764,305,302,163,17,969538,18,2,18,30.0
128,12,12,16.363636363636363,91,91,22,11,1095948,12,4,16,4.0
129,12,12,9.545454545454545,64,63,31,11,688716,12,3,13,30.0
130,4,4,24.0,37,37,6,3,2437480,4,3,12,12.0
131,10,10,19.333333333333332,59,59,34,9,2106151,10,0,9,18.0
132,25,25,3.4166666666666665,116,112,70,24,2887138,25,0,12,5.0
133,21,21,6.65,544,544,276,20,1058680,21,4,0,10.0
134,7,7,22.166666666666668,47,47,21,6,831748,7,1,10,30.0
135,5,5,13.25,26,26,9,4,3001617,5,0,17,17.0
136,5,5,15.75,47,47,6,4,2710859,5,1,15,21.0
137,7,7,22.166666666666668,72,72,47,6,1500625,7,6,15,6.0
138,33,33,11.125,148,144,93,32,455775,33,6,12,1.0
139,5,5,12.5,14,14,6,4,2233425,5,2,11,30.0
140,77,77,4.802631578947368,1151,1095,847,76,2560500,77,4,21,2.0
141,5,5,7.75,41,41,6,4,726111,5,3,14,20.0
142,46,46,7.155555555555556,368,357,298,45,2696946,46,6,17,2.0
143,15,15,8.0,222,217,106,14,1993128,15,6,11,8.0
144,8,8,7.285714285714286,26,26,15,7,242208,8,2,12,12.0
145,9,9,7.0,67,67,32,8,3395341,9,2,17,30.0
146,41,41,9.075,371,366,234,40,673776,41,2,19,25.0
147,14,14,17.0,63,62,43,13,318441,14,0,11,30.0
148,8,8,9.857142857142858,103,103,18,7,3348216,8,5,23,27.0
149,16,16,16.933333333333334,228,218,117,15,2567075,16,5,14,15.0
150,32,32,10.483870967741936,288,277,133,31,1575396,32,6,14,20.0
151,12,12,6.636363636363637,164,164,44,11,1855063,12,6,15,11.0
152,66,66,5.569230769230769,696,662,539,65,2588536,66,5,16,4.0
153,20,20,11.052631578947368,267,257,177,19,1658650,20,0,19,7.0
154,36,36,9.542857142857143,620,610,413,35,36740,36,4,11,6.0
155,23,23,15.318181818181818,241,236,191,22,1897207,23,1,0,9.0
156,4,4,9.333333333333334,18,18,7,3,2675738,4,0,9,9.0
157,5,5,5.0,44,44,13,4,3294802,5,0,14,4.0
158,6,6,17.4,31,31,4,5,3052059,6,0,10,30.0
159,5,5,24.0,53,53,20,4,2943466,5,3,16,30.0
160,13,13,14.5,265,258,142,12,2133144,13,0,17,13.0
161,21,21,16.65,263,260,134,20,3123006,21,0,15,20.0
162,15,15,5.5,87,87,21,14,3400496,15,5,18,4.0
163,12,12,9.090909090909092,77,77,24,11,2564128,12,1,23,11.0
164,11,11,17.3,190,182,140,10,2608262,11,4,9,19.0
165,8,8,22.285714285714285,92,90,42,7,1920100,8,3,15,30.0
166,7,7,22.833333333333332,28,28,5,6,2993890,7,3,6,21.0
167,6,6,17.4,54,54,9,5,2742787,6,0,11,7.0
168,23,23,8.681818181818182,140,140,49,22,1172828,23,2,13,7.0
169,7,7,19.833333333333332,85,85,9,6,767489,7,2,12,30.0
170,4,4,30.0,8,8,1,3,2587424,4,4,18,30.0
171,7,7,10.333333333333334,57,57,21,6,1500681,7,0,15,8.0
172,7,7,12.166666666666666,20,20,6,6,2760277,7,1,10,20.0
173,45,45,6.045454545454546,426,422,187,44,2060922,45,2,9,15.0
174,28,28,11.185185185185185,173,170,89,27,537105,28,6,11,9.0
175,24,24,5.260869565217392,130,130,37,23,1505214,24,3,9,7.0
176,7,7,23.0,43,43,7,6,2433199,7,6,16,19.0
177,15,15,6.571428571428571,48,48,24,14,2691733,15,0,21,9.0
178,6,6,13.8,60,60,14,5,3412247,6,2,9,7.0
179,6,6,19.0,31,31,5,5,1464402,6,1,20,15.0
180,7,7,25.166666666666668,222,222,107,6,2769561,7,5,10,30.0
181,11,11,21.2,96,96,44,10,2029462,11,2,14,30.0
182,27,27,12.5,204,199,135,26,1817659,27,6,17,15.0
183,5,5,15.25,76,76,18,4,1007973,5,6,14,19.0
184,12,12,23.545454545454547,153,153,81,11,3362166,12,6,12,30.0
185,7,7,29.166666666666668,40,40,6,6,2887658,7,2,11,30.0
186,8,8,12.714285714285714,54,54,16,7,470997,8,4,12,5.0
187,33,33,6.875,203,201,140,32,475324,33,5,15,3.0
188,6,6,7.0,72,72,21,5,569815,6,0,9,4.0
189,12,12,14.818181818181818,59,59,25,11,2715293,12,4,18,2.0
190,18,18,14.647058823529411,160,160,69,17,2517930,18,0,15,14.0
191,5,5,4.75,23,23,3,4,1308123,5,1,15,5.0
192,6,6,29.8,42,42,26,5,3155162,6,1,12,30.0
193,6,6,18.4,33,33,2,5,1962299,6,4,10,14.0
194,10,10,16.0,90,90,34,9,2378064,10,4,19,4.0
195,59,59,5.482758620689655,185,182,147,58,1458129,59,4,11,6.0
196,4,4,22.0,3,3,1,3,169451,4,4,16,10.0
197,21,21,3.6,448,433,275,20,739987,21,6,16,2.0
198,6,6,14.8,51,51,16,5,3048264,6,2,13,8.0
199,4,4,15.666666666666666,16,16,8,3,2066158,4,6,10,30.0
200,10,10,22.0,172,172,84,9,2986791,10,1,22,30.0
201,8,8,9.857142857142858,53,53,17,7,2780124,8,6,12,23.0
202,14,14,19.307692307692307,365,342,199,13,1239084,14,5,13,22.0
203,4,4,20.0,11,11,6,3,2897229,4,0,15,30.0
204,59,59,6.293103448275862,515,506,329,58,1447810,59,6,13,17.0
205,13,13,14.333333333333334,49,49,32,12,2177938,13,2,18,30.0
206,29,29,12.392857142857142,177,177,93,28,307237,29,4,10,13.0
207,4,4,24.666666666666668,22,22,6,3,3191854,4,1,15,30.0
208,19,19,9.666666666666666,93,93,53,18,1706500,19,6,18,18.0
209,20,20,12.68421052631579,316,297,264,19,1826981,20,1,13,27.0
210,100,100,3.3333333333333335,1476,1380,1243,99,3176785,100,1,12,5.0
211,5,5,7.25,49,49,12,4,2708761,5,0,13,8.0
212,13,13,14.833333333333334,29,29,12,12,3084045,13,0,0,2.0
213,6,6,17.0,56,56,8,5,2477435,6,1,15,30.0
214,28,28,11.666666666666666,479,467,298,27,3053806,28,6,21,30.0
215,6,6,26.2,31,31,2,5,75622,6,4,8,29.0
216,18,18,14.705882352941176,339,339,250,17,1132910,18,1,9,30.0
217,12,12,18.727272727272727,79,79,19,11,1131395,12,6,12,30.0
218,7,7,14.333333333333334,6,6,4,6,1841249,7,3,13,7.0
219,34,34,10.272727272727273,404,401,251,33,1902701,34,6,15,14.0
220,17,17,18.1875,114,111,70,16,1848434,17,3,4,30.0
221,24,24,11.608695652173912,231,223,168,23,2088686,24,1,21,15.0
222,71,71,5.214285714285714,484,476,347,70,1789152,71,5,10,3.0
223,50,50,7.428571428571429,643,620,496,49,180627,50,1,8,7.0
224,4,4,17.666666666666668,22,22,5,3,2041929,4,2,10,13.0
225,12,12,15.454545454545455,60,59,34,11,3358588,12,5,11,1.0
226,22,22,14.19047619047619,220,217,152,21,2615515,22,4,21,30.0
227,32,32,8.741935483870968,562,555,348,31,1283403,32,6,21,5.0
228,5,5,8.0,50,50,13,4,2098786,5,6,18,5.0
229,18,18,13.764705882352942,187,187,132,17,568023,18,5,22,4.0
230,11,11,21.3,56,56,31,10,382581,11,5,7,30.0
231,4,4,15.666666666666666,65,65,27,3,2499603,4,6,2,16.0
232,37,37,7.833333333333333,445,435,351,36,795256,37,0,11,5.0
233,26,26,8.4,478,466,364,25,2399184,26,5,13,9.0
234,43,43,8.69047619047619,550,537,323,42,862070,43,6,21,7.0
235,22,22,11.380952380952381,192,180,101,21,1179928,22,5,13,5.0
236,46,46,5.933333333333334,515,509,204,45,313331,46,3,17,3.0
237,9,9,8.625,69,69,13,8,3241020,9,6,7,30.0
238,7,7,14.833333333333334,202,202,83,6,1016866,7,4,16,14.0
239,6,6,19.4,45,45,7,5,2941534,6,0,2,6.0
240,6,6,23.0,15,15,4,5,688931,6,3,9,20.0
241,15,15,11.928571428571429,124,124,42,14,1549872,15,0,10,25.0
242,17,17,12.375,134,134,61,16,2193979,17,6,14,7.0
243,28,28,12.25925925925926,351,349,239,27,2698993,28,0,10,20.0
244,8,8,15.142857142857142,43,43,4,7,3348159,8,0,19,30.0
245,6,6,28.0,47,47,13,5,2624849,6,1,22,20.0
246,6,6,13.6,33,33,8,5,1653971,6,5,11,8.0
247,6,6,21.8,31,31,7,5,3161938,6,0,14,30.0
248,59,59,6.172413793103448,392,381,313,58,2318705,59,0,2,20.0
249,10,10,7.111111111111111,40,40,27,9,142062,10,4,22,3.0
250,12,12,18.454545454545453,105,105,72,11,524863,12,6,14,20.0
251,11,11,15.5,77,77,37,10,1882331,11,3,14,30.0
252,5,5,26.0,46,46,8,4,2298194,5,6,11,30.0
253,4,4,12.0,23,23,4,3,2727415,4,5,12,3.0
254,12,12,4.454545454545454,105,105,40,11,1696774,12,0,11,5.0
255,5,5,19.25,80,80,31,4,2008056,5,0,23,29.0
256,19,19,18.11111111111111,221,221,124,18,961500,19,0,11,28.0
257,21,21,4.5,121,120,55,20,2686576,21,6,12,7.0
258,25,25,8.708333333333334,213,210,110,24,1056167,25,6,12,26.0
259,4,4,13.0,16,16,2,3,1976038,4,6,11,30.0
260,18,18,10.588235294117647,104,104,73,17,3227316,18,4,11,30.0
261,9,9,3.75,56,56,7,8,1162736,9,3,17,4.0
262,46,46,7.288888888888889,262,261,116,45,1905437,46,0,22,3.0
263,4,4,8.666666666666666,24,24,8,3,3048274,4,0,19,4.0
264,30,30,11.482758620689655,691,691,481,29,2383385,30,3,9,8.0
265,8,8,17.571428571428573,28,28,9,7,1141566,8,4,16,30.0
266,6,6,13.4,30,30,4,5,3069370,6,5,17,0.0
267,10,10,23.666666666666668,324,324,175,9,1665716,10,6,11,30.0
268,10,10,22.11111111111111,67,67,7,9,2527879,10,1,9,4.0
269,4,4,30.0,67,67,5,3,2969880,4,6,10,30.0
270,23,23,12.227272727272727,66,65,37,22,676206,23,6,18,30.0
271,16,16,19.0,17,15,13,15,985905,16,2,13,3.0
272,10,10,15.11111111111111,65,65,24,9,2662084,10,4,13,16.0
273,20,20,14.421052631578947,108,107,47,19,2014989,20,0,20,13.0
274,15,15,18.714285714285715,188,188,54,14,2726815,15,5,14,30.0
275,15,15,11.071428571428571,163,163,68,14,1862801,15,0,15,5.0
276,10,10,15.11111111111111,62,62,30,9,865014,10,3,16,30.0
277,4,4,12.666666666666666,23,23,5,3,2572142,4,4,17,5.0
278,69,69,2.838235294117647,267,251,211,68,3411419,69,2,13,2.0
279,15,15,19.0,100,100,23,14,1379299,15,3,11,30.0
280,42,42,8.609756097560975,530,522,390,41,3059590,42,1,6,8.0
281,31,31,9.733333333333333,303,303,179,30,1579044,31,4,23,14.0
282,4,4,18.0,22,22,3,3,445784,4,5,18,2.0
283,6,6,20.6,36,36,9,5,145016,6,1,12,3.0
284,17,17,18.5,358,345,242,16,3261724,17,2,11,13.0
285,5,5,21.75,38,38,5,4,78426,5,5,8,14.0
286,4,4,12.666666666666666,26,26,0,3,3529,4,4,9,19.0
287,15,15,5.928571428571429,18,18,11,14,346816,15,4,9,15.0
288,4,4,26.666666666666668,19,19,1,3,1184332,4,6,14,20.0
289,50,50,7.020408163265306,705,668,598,49,1473392,50,4,14,14.0
290,52,52,7.137254901960785,1590,1558,1042,51,3116687,52,6,11,7.0
291,5,5,12.75,17,17,2,4,1374681,5,2,12,17.0
292,9,9,20.375,131,131,71,8,158824,9,2,19,30.0
293,9,9,20.625,114,109,56,8,2692535,9,1,16,30.0
294,16,16,12.8,108,108,58,15,1911431,16,0,12,30.0
295,24,24,5.391304347826087,265,262,209,23,405264,24,2,14,8.0
296,7,7,6.333333333333333,30,30,3,6,208213,7,3,12,4.0
297,12,12,23.727272727272727,49,49,18,12,2306683,12,0,18,6.0
298,4,4,18.333333333333332,49,49,22,3,1979266,4,3,14,16.0
299,10,10,19.0,64,64,15,9,939128,10,1,18,13.0
300,39,39,6.157894736842105,280,280,121,38,1546561,39,4,18,5.0
301,19,19,13.444444444444445,148,148,52,18,1242621,19,0,11,18.0
302,11,11,12.7,76,75,10,10,82598,11,3,15,12.0
303,9,9,14.375,13,13,3,8,1177551,9,4,15,13.0
304,43,43,8.071428571428571,278,269,218,42,540284,43,5,19,6.0
305,5,5,30.0,40,40,7,4,1940141,5,1,15,30.0
306,25,25,14.208333333333334,120,118,68,24,1957838,25,1,8,14.0
307,35,35,10.617647058823529,171,169,140,34,61423,35,0,11,2.0
308,4,4,11.666666666666666,11,11,0,3,738988,4,1,14,4.0
309,26,26,1.0,308,301,133,25,2600069,26,4,13,1.0
310,100,100,3.3333333333333335,493,469,351,99,988,100,2,9,4.0
311,16,16,8.8,61,58,39,15,1105633,16,5,15,12.0
312,5,5,19.25,29,29,13,4,930307,5,2,13,30.0
313,100,100,1.7272727272727273,787,737,657,99,2956359,100,1,6,4.0
314,6,6,25.8,11,11,2,5,877974,6,4,11,30.0
315,5,5,14.75,34,34,10,4,3072356,5,3,23,24.0
316,22,22,11.095238095238095,190,187,91,21,588332,22,3,14,8.0
317,5,5,14.75,40,40,2,4,1640076,5,0,17,6.0
318,8,8,15.571428571428571,7,7,6,7,2964001,8,1,11,24.0
319,9,9,3.875,55,55,16,8,1054904,9,0,18,2.0
320,6,6,15.0,142,142,26,5,1971668,6,6,21,13.0
321,34,34,11.030303030303031,478,471,326,33,1452849,34,4,18,25.0
322,15,15,17.928571428571427,150,150,85,14,1684761,15,0,17,21.0
323,72,72,2.4507042253521125,1050,991,820,71,3012300,72,1,12,4.0
324,12,12,18.363636363636363,93,93,33,11,1215744,12,6,12,30.0
325,8,8,17.285714285714285,94,94,38,7,39637,8,6,13,6.0
326,6,6,14.4,47,47,25,5,2560537,6,3,15,27.0
327,64,64,5.507936507936508,734,722,491,63,1331374,64,1,15,3.0
328,13,13,15.583333333333334,126,126,63,12,3174585,13,2,11,27.0
329,9,9,18.375,33,33,7,8,1606411,9,0,19,14.0
330,8,8,25.142857142857142,36,36,14,7,2147369,8,3,17,6.0
331,9,9,25.375,39,39,6,8,1544353,9,6,17,12.0
332,13,13,8.916666666666666,234,234,130,12,2242945,13,2,22,8.0
333,9,9,19.5,42,40,24,8,465851,9,5,6,30.0
334,64,64,5.666666666666667,841,822,627,63,1751465,64,1,20,2.0
335,7,7,17.0,44,44,1,6,1080218,7,2,11,14.0
336,12,12,4.363636363636363,42,42,20,11,3088338,12,6,16,7.0
337,13,13,21.333333333333332,247,243,107,12,3077453,13,1,17,30.0
338,6,6,26.2,26,26,7,5,3037363,6,5,22,29.0
339,4,4,13.666666666666666,29,29,5,3,2305779,4,6,17,15.0
340,6,6,10.0,53,53,12,5,1430705,6,6,10,14.0
341,12,12,17.454545454545453,195,195,92,11,281630,12,1,11,30.0
342,17,17,17.4375,139,139,48,16,107908,17,4,7,30.0
343,5,5,25.0,18,18,2,4,1841063,5,5,15,10.0
344,10,10,16.0,25,25,13,9,632748,10,1,7,30.0
345,4,4,26.333333333333332,13,13,3,3,1652713,4,2,9,19.0
346,7,7,24.333333333333332,36,36,14,6,980530,7,6,20,30.0
347,4,4,9.666666666666666,13,13,8,3,2770483,4,3,14,28.0
348,29,29,10.857142857142858,135,135,23,28,563865,29,3,3,7.0
349,8,8,14.285714285714286,41,41,11,7,959285,8,1,8,5.0
350,15,15,8.0,171,171,86,14,1989223,15,0,12,7.0
351,15,15,13.285714285714286,180,173,122,14,2898937,15,0,20,9.0
352,11,11,22.8,195,195,80,10,143045,11,5,19,30.0
353,12,12,14.909090909090908,111,111,28,11,2143540,12,6,13,30.0
354,6,6,25.2,7,7,5,5,2481483,6,5,11,30.0
355,14,14,16.0,136,134,61,13,3081810,14,6,16,30.0
356,4,4,16.0,23,23,1,3,1299805,4,1,17,30.0
357,9,9,13.0,154,154,103,8,2376514,9,5,9,10.0
358,8,8,24.714285714285715,53,52,21,7,394279,8,1,17,30.0
359,16,16,17.733333333333334,199,197,83,15,2908855,16,1,15,6.0
360,4,4,3.6666666666666665,16,16,3,3,2364890,4,2,9,1.0
361,7,7,15.666666666666666,89,89,24,6,15694,7,3,15,2.0
362,12,12,10.818181818181818,111,106,35,11,1979817,12,1,8,6.0
363,13,13,9.916666666666666,214,214,100,12,607923,13,1,13,10.0
364,19,19,14.277777777777779,177,174,120,18,2193705,19,5,21,9.0
365,16,16,9.866666666666667,37,36,19,15,2942881,16,0,12,7.0
366,4,4,12.666666666666666,39,39,3,3,1160743,4,3,10,2.0
367,5,5,23.25,78,78,32,5,239545,5,4,11,30.0
368,5,5,21.5,7,7,1,4,729099,5,4,12,30.0
369,17,17,15.5,121,121,65,16,906822,17,3,13,13.0
370,28,28,9.703703703703704,332,319,210,27,461187,28,5,17,30.0
371,4,4,18.333333333333332,29,29,7,3,174574,4,1,15,20.0
372,13,13,21.25,87,86,32,12,1682739,13,6,22,30.0
373,59,59,6.137931034482759,568,560,395,58,887842,59,5,15,6.0
374,17,17,19.5,23,22,16,16,1412429,17,1,14,14.0
375,8,8,20.142857142857142,116,116,76,7,811612,8,1,13,30.0
376,9,9,20.375,89,89,45,8,960774,9,6,12,30.0
377,4,4,21.0,29,29,2,3,1558843,4,3,18,30.0
378,9,9,23.875,20,20,12,8,2721521,9,2,17,27.0
379,20,20,10.578947368421053,200,200,79,19,2294073,20,2,16,30.0
380,13,13,14.25,47,47,26,12,2385890,13,6,14,3.0
381,17,17,13.9375,355,352,196,16,1185710,17,1,19,8.0
382,30,30,10.413793103448276,212,204,131,29,14172,30,4,17,10.0
383,10,10,19.88888888888889,98,98,47,9,3206948,10,5,11,30.0
384,10,10,19.555555555555557,21,21,12,9,2057992,10,4,13,16.0
385,5,5,28.75,33,33,10,4,280751,5,0,11,30.0
386,5,5,20.5,38,38,6,4,1237726,5,1,15,15.0
387,9,9,11.5,59,59,28,8,1910258,9,4,10,30.0
388,11,11,23.9,14,14,8,10,572050,11,3,6,30.0
389,13,13,12.5,201,201,110,12,1753574,13,6,18,6.0
390,23,23,13.772727272727273,381,373,265,22,2294856,23,6,17,20.0
391,24,24,7.6521739130434785,202,200,137,23,2328904,24,1,16,29.0
392,7,7,16.666666666666668,15,15,12,6,442242,7,5,13,30.0
393,11,11,19.2,215,215,88,10,36665,11,4,13,27.0
394,6,6,27.0,198,198,72,5,3376600,6,4,12,26.0
395,4,4,20.666666666666668,18,18,0,3,3163411,4,3,18,30.0
396,19,19,15.166666666666666,296,288,188,18,445900,19,1,6,30.0
397,4,4,4.666666666666667,18,18,3,3,2557552,4,4,15,8.0
398,54,54,6.830188679245283,441,437,337,53,2391680,54,3,20,4.0
399,4,4,12.666666666666666,27,27,1,3,2950974,4,1,15,18.0
400,6,6,27.0,74,74,32,5,2196307,6,0,22,30.0
401,5,5,14.5,45,45,7,4,2534943,5,5,10,5.0
402,5,5,13.5,9,9,5,4,3014378,5,0,12,4.0
403,33,33,11.0625,442,441,211,32,3159731,33,1,13,8.0
404,7,7,13.5,46,46,2,6,592291,7,2,14,24.0
405,6,6,22.4,45,45,6,5,198531,6,3,17,28.0
